model,group,level,encounters,patients,positives,prevalence,estimates_suppressed,threshold,average_precision,recall,precision,brier,tn,fp,fn,tp,false_negative_rate
boosting__uncalibrated,race,Hispanic,320,236,36,0.1125,False,0.1,0.19960847163437506,0.6944444444444444,0.18382352941176472,0.09642669525458594,173.0,111.0,11.0,25.0,0.3055555555555556
boosting__uncalibrated,race,Other,193,161,20,0.10362694300518134,True,0.1,,,,,,,,,
boosting__uncalibrated,race,Unknown,316,275,27,0.08544303797468354,True,0.1,,,,,,,,,
boosting__uncalibrated,gender,Female,7376,5232,816,0.11062906724511931,False,0.1,0.19664033019201435,0.6703431372549019,0.1562410739788632,0.09497605469683189,3606.0,2954.0,269.0,547.0,0.3296568627450981
boosting__uncalibrated,gender,Male,6214,4525,683,0.10991309945284841,False,0.1,0.20252588954847892,0.6412884333821376,0.16666666666666666,0.09416180156046744,3341.0,2190.0,245.0,438.0,0.3587115666178624
boosting__uncalibrated,age,[0-10),30,28,0,0.0,True,0.1,,,,,,,,,
boosting__uncalibrated,age,[10-20),130,88,7,0.05384615384615385,True,0.1,,,,,,,,,
boosting__uncalibrated,age,[20-30),227,170,23,0.1013215859030837,True,0.1,,,,,,,,,
boosting__uncalibrated,age,[30-40),488,389,44,0.09016393442622951,False,0.1,0.20425958045952772,0.6136363636363636,0.18493150684931506,0.07779061410901932,325.0,119.0,17.0,27.0,0.38636363636363635
boosting__uncalibrated,age,[40-50),1374,976,165,0.12008733624454149,False,0.1,0.2578370455229009,0.6545454545454545,0.219959266802444,0.09902984520149946,826.0,383.0,57.0,108.0,0.34545454545454546
boosting__uncalibrated,age,[50-60),2334,1750,223,0.09554413024850043,False,0.1,0.21845974783746447,0.6188340807174888,0.17692307692307693,0.08173729398478008,1469.0,642.0,85.0,138.0,0.3811659192825112
boosting__uncalibrated,age,[60-70),2977,2190,336,0.1128653006382264,False,0.1,0.22034761090258653,0.5952380952380952,0.17123287671232876,0.09581613260900836,1673.0,968.0,136.0,200.0,0.40476190476190477
boosting__uncalibrated,age,[70-80),3412,2506,379,0.11107854630715124,False,0.1,0.17590501807571418,0.6807387862796834,0.14742857142857144,0.09644992406365559,1541.0,1492.0,121.0,258.0,0.3192612137203166
boosting__uncalibrated,age,[80-90),2213,1580,275,0.12426570266606417,False,0.1,0.1661286487598408,0.7236363636363636,0.1419400855920114,0.10791400190138632,735.0,1203.0,76.0,199.0,0.27636363636363637
boosting__uncalibrated,age,[90-100),405,288,47,0.11604938271604938,False,0.1,0.15088315166760957,0.7446808510638298,0.12867647058823528,0.10251799586778679,121.0,237.0,12.0,35.0,0.25531914893617025
