family,configuration,trial,state,parameters,cv_average_precision_mean,cv_average_precision_sd,cv_roc_auc_mean,cv_roc_auc_sd,cv_brier_mean,cv_brier_sd,cv_recall_mean,cv_recall_sd,cv_precision_mean,cv_precision_sd,cv_f1_mean,cv_f1_sd,cv_ap_min,cv_ap_max,duration_seconds,mlflow_run_id
logistic,raw,10,COMPLETE,"{""C"": 0.03603517820107174}",0.21241546993581997,0.007201367958173151,0.6591872554068917,0.0075197195696246125,0.09509339391560925,0.0004764383039266861,0.019382957404020656,0.002672799882119529,0.5153133717278455,0.10324686796155375,0.03727963223817145,0.004813692060376718,0.20474540181037204,0.22433517869597858,1.73663,17273b75ddda40fabaf602b62e9b73e9
logistic,raw,11,COMPLETE,"{""C"": 0.04380243206720742}",0.21240287093231297,0.0073244289020493875,0.6591487498639234,0.0075357658385292285,0.09509416810002994,0.000484582197575604,0.019383057505022568,0.002765599930012113,0.5105703187282135,0.0980147411114955,0.03726865554386979,0.004999657491671767,0.2047914302828497,0.2246141034898848,1.746826,eb4e5a9165774c16bfd6e65256ccbb75
logistic,raw,12,COMPLETE,"{""C"": 0.09988151348099303}",0.21243439033055395,0.007680025338909843,0.6588757734215117,0.007950343496692016,0.09509313803718959,0.0005076203361114948,0.019383057505022568,0.002765599930012113,0.4951890339659891,0.09218292165918922,0.03722891958774342,0.005003106700242338,0.20512081532132576,0.2255139300514307,1.788931,53058e6eaa1f4a27a1f961bc2319e268
logistic,raw,13,COMPLETE,"{""C"": 0.10078914959537236}",0.21235080088900532,0.007656541476781617,0.6587819842171921,0.00800104727910955,0.09509841218990961,0.000507856044676345,0.019241514688320516,0.0028010617063171307,0.5002417210963951,0.09609610364677623,0.0369740152331959,0.005047101086442638,0.2051223560772879,0.22541589450681399,1.816633,a12988cb11dc48c2bb2c9c902da468a1
logistic,raw,14,COMPLETE,"{""C"": 0.15664268600857326}",0.2122152777640623,0.007984187526191922,0.6582793427426885,0.00854618591527594,0.09510796147535147,0.000525784894465701,0.01966624323942858,0.0029342476257705184,0.49661156186612565,0.09770895659865847,0.03776008688315605,0.005370703323517719,0.2047281666375534,0.22585824190461268,1.881936,b386439b7c5f4a88918d66d3c64e1fec
boosting,raw,0,COMPLETE,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 30}",0.21877153772828156,0.004638309492506495,0.6625959633363502,0.008112959768546178,0.0945106119450717,0.00032633387531480734,0.009194877631530214,0.006103185005935776,0.5212979863827322,0.14615047663933708,0.017943150707659367,0.011656357248825439,0.21134677648476624,0.2230343436222894,3.490265,191a1e111c7543499cfe12b9b5a54c51
boosting,raw,1,COMPLETE,"{""l2_regularization"": 10.0, ""learning_rate"": 0.04890900982059251, ""max_iter"": 75, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",0.21947897320072918,0.005061573156216816,0.6634623419626227,0.008130396672287649,0.09448896240892996,0.0003124088855984877,0.005516366013307427,0.007236339616731698,0.44452380952380954,0.30645872497512405,0.010733769983429644,0.01390613885288121,0.21192592033169386,0.22561222101157846,2.734995,4a7f5b7d0f1d4b8cb0d9a58d98796478
boosting,raw,2,COMPLETE,"{""l2_regularization"": 0.1, ""learning_rate"": 0.04212698016841976, ""max_iter"": 75, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 50}",0.21842488309960592,0.005524028462011967,0.6621204998487353,0.007923288481887667,0.09462214722233371,0.0002864159812115362,0.002404526166902405,0.004626712088768353,0.2833333333333333,0.4393808775488023,0.0047029027858951885,0.009020188261378417,0.2105853138684825,0.2261214303713495,2.470319,6d110f28f7dd4b8989a041ac51911247
boosting,raw,3,COMPLETE,"{""l2_regularization"": 0.0, ""learning_rate"": 0.08518768058262832, ""max_iter"": 300, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 100}",0.2128507698975079,0.004707624975031985,0.6561619432993522,0.007743907121964325,0.09495353117812859,0.00032963567591660773,0.01669434459369504,0.0046517109800475916,0.4829614292303274,0.07026405265349014,0.032171861090507375,0.008546451144828267,0.20709714766696702,0.21820231377463536,4.715716,5422611e7b7c4216b42a4c7b59a9dc1c
boosting,raw,4,COMPLETE,"{""l2_regularization"": 1.0, ""learning_rate"": 0.035517657756655226, ""max_iter"": 300, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 100}",0.2160268028126234,0.0060254145153249014,0.6596521999590481,0.008445215968080863,0.09472070884022124,0.00040231858117319234,0.01372334685697869,0.003954961956155904,0.4957232350982351,0.043152457010854586,0.026639030003113972,0.007361688336412913,0.2087573771826367,0.22369473036772303,5.840533,6d6d4660e3ba4fb18e33e542450ede59
