family,configuration,trial,fold,average_precision,roc_auc,recall,precision,f1,specificity,brier,tn,fp,fn,tp,threshold,mean_probability,prevalence,predicted_positive_fraction,fit_encounters,holdout_encounters,encoded_features,duration_seconds
logistic,raw,13,3,0.21039283331146896,0.6606558259074715,0.01910828025477707,0.40298507462686567,0.03648648648648649,0.9964598637047526,0.09525894253670161,11259,40,1386,27,0.5,0.11113899565035712,0.11115481434864695,0.005270610446821901,50851,12712,76,0.36100545899535064
logistic,raw,13,4,0.2051223560772879,0.6574917821394115,0.024045261669024046,0.4533333333333333,0.04566823371390195,0.9963713602973715,0.09561289848269601,11258,41,1380,34,0.5,0.11264807788447756,0.1112247305907339,0.0058994729804137495,50850,12713,76,0.36459795900736935
logistic,raw,14,0,0.21014953854560536,0.6444590920852291,0.016973125884016973,0.6,0.033012379642365884,0.9985839454819011,0.09513748617222134,11283,16,1390,24,0.5,0.11002306722213058,0.1112247305907339,0.003146385589554,50850,12713,76,0.34255750000011176
logistic,raw,14,1,0.20987875534217582,0.6636666739278434,0.016973125884016973,0.41379310344827586,0.03260869565217391,0.9969906178084617,0.095291216150451,11264,34,1390,24,0.5,0.1120647049692062,0.11123348017621146,0.004562617998741347,50851,12712,76,0.3720810409868136
logistic,raw,14,2,0.22585824190461268,0.6664213466609047,0.020523708421797595,0.6041666666666666,0.03969883641341547,0.9983185840707964,0.0942257411005683,11281,19,1384,29,0.5,0.11015035154708298,0.11114607095099505,0.0037756627074648,50850,12713,77,0.41076491700368933
logistic,raw,14,3,0.21046168639036422,0.660126559246204,0.019815994338287332,0.4117647058823529,0.03781228899392303,0.9964598637047526,0.09525699861789787,11259,40,1385,28,0.5,0.11121249459904856,0.11115481434864695,0.005349276274386407,50851,12712,76,0.3611377920024097
logistic,raw,14,4,0.2047281666375534,0.6567230417932618,0.024045261669024046,0.4533333333333333,0.04566823371390195,0.9963713602973715,0.09562836533561886,11258,41,1380,34,0.5,0.1126053613722148,0.1112247305907339,0.0058994729804137495,50850,12713,76,0.3839637080091052
boosting,raw,0,0,0.21845296820695276,0.6486979921994324,0.009193776520509194,0.7222222222222222,0.018156424581005588,0.9995574829630941,0.09477978172033422,11294,5,1401,13,0.5,0.11041062271409172,0.1112247305907339,0.0014158735152993,50850,12713,10,0.6964572080032667
boosting,raw,0,1,0.222328191221778,0.6690583480622548,0.010608203677510608,0.5769230769230769,0.020833333333333332,0.9990263763497964,0.09434468704548936,11287,11,1399,15,0.5,0.11177678860757581,0.11123348017621146,0.0020453115166771552,50851,12712,10,0.7018423339904984
boosting,raw,0,2,0.2230343436222894,0.6675315496433245,0.0021231422505307855,0.3333333333333333,0.004219409282700422,0.9994690265486725,0.09413577675577682,11294,6,1410,3,0.5,0.10978437877053777,0.11114607095099505,0.00070793675764965,50850,12713,10,0.6975137079862179
boosting,raw,0,3,0.21869540910562119,0.6645090751068226,0.005661712668082095,0.5333333333333333,0.011204481792717087,0.9993804761483317,0.09437381795670151,11292,7,1405,8,0.5,0.11030305220192485,0.11115481434864695,0.0011799874134675898,50851,12712,10,0.6974781249882653
boosting,raw,0,4,0.21134677648476624,0.6631828516699166,0.018387553041018388,0.4406779661016949,0.035302104548540394,0.9970793875564209,0.09491899624705659,11266,33,1388,26,0.5,0.11229762048592999,0.1112247305907339,0.00464091874459215,50850,12713,10,0.6845697920070961
boosting,raw,1,0,0.21874781781236335,0.6499540958988872,0.002828854314002829,0.8,0.005637773079633545,0.9999114965926188,0.09479296860818351,11298,1,1410,4,0.5,0.11044635432347473,0.1112247305907339,0.00039329819869425,50850,12713,10,0.5598886669904459
boosting,raw,1,1,0.22213002495331707,0.6691112106810407,0.006364922206506365,0.6428571428571429,0.012605042016806723,0.999557443795362,0.09440446114030324,11293,5,1405,9,0.5,0.11207074626587207,0.11123348017621146,0.0011013215859030838,50851,12712,10,0.5428992499946617
boosting,raw,1,2,0.22561222101157846,0.6704679054794607,0.0007077140835102619,0.3333333333333333,0.0014124293785310734,0.9998230088495575,0.09407269105077852,11298,2,1412,1,0.5,0.10994478322100901,0.11114607095099505,0.00023597891921655,50850,12713,10,0.5429763749998529
boosting,raw,1,3,0.21897888189469328,0.6644317207486374,0.0,0.0,0.0,1.0,0.09436576419691176,11299,0,1413,0,0.5,0.11021158607924268,0.11115481434864695,0.0,50851,12712,10,0.5396907090034802
boosting,raw,1,4,0.21192592033169386,0.6633467770050874,0.01768033946251768,0.44642857142857145,0.034013605442176874,0.9972563943711833,0.0948089270484727,11268,31,1389,25,0.5,0.11207452804139445,0.1112247305907339,0.0044049398253755995,50850,12713,10,0.5364801249961602
boosting,raw,2,0,0.21763613301650075,0.6488202320541816,0.0,0.0,0.0,1.0,0.09491575013570859,11299,0,1414,0,0.5,0.11055861964833627,0.1112247305907339,0.0,50850,12713,10,0.4884969999984605
boosting,raw,2,1,0.2192829743589165,0.6664786585251349,0.0014144271570014145,1.0,0.002824858757062147,1.0,0.09456432835009325,11298,0,1412,2,0.5,0.11220671944655694,0.11123348017621146,0.00015733165512901197,50851,12712,10,0.49348541600920726
boosting,raw,2,2,0.2261214303713495,0.6691742918161948,0.0,0.0,0.0,0.9999115044247787,0.09423663357723029,11299,1,1413,0,0.5,0.11022755742264181,0.11114607095099505,7.865963973885e-05,50850,12713,10,0.507182625005953
boosting,raw,2,3,0.21849856388278044,0.664421949671814,0.0,0.0,0.0,1.0,0.09449856742659528,11299,0,1413,0,0.5,0.11068285271560749,0.11115481434864695,0.0,50851,12712,10,0.491398542013485
boosting,raw,2,4,0.2105853138684825,0.661707367176352,0.010608203677510608,0.4166666666666667,0.020689655172413793,0.9981414284449951,0.0948954566220411,11278,21,1399,15,0.5,0.11226296527283937,0.1112247305907339,0.0028317470305986,50850,12713,10,0.4770652919978602
boosting,raw,3,0,0.21322323930321074,0.6436750795810873,0.016973125884016973,0.5581395348837209,0.032944406314344546,0.9983184352597575,0.09506647240948007,11280,19,1390,24,0.5,0.1100549007324975,0.1112247305907339,0.0033823645087705497,50850,12713,10,0.9672982500051148
boosting,raw,3,1,0.21820231377463536,0.6634036753572937,0.013437057991513438,0.5588235294117647,0.026243093922651933,0.998672331386086,0.0947091052176298,11283,15,1395,19,0.5,0.11091987407785107,0.11123348017621146,0.0026746381371932034,50851,12712,10,0.9613556660042377
boosting,raw,3,2,0.20920739386881088,0.6565869079157507,0.016985138004246284,0.4528301886792453,0.03274215552523874,0.9974336283185841,0.09495020564967002,11271,29,1389,24,0.5,0.10930285278993603,0.11114607095099505,0.00416896090615905,50850,12713,10,0.9628884580015438
boosting,raw,3,3,0.21652375487391554,0.6617113214272763,0.012031139419674451,0.4146341463414634,0.023383768913342505,0.9978759182228516,0.09460079289003342,11275,24,1396,17,0.5,0.10958371486763792,0.11115481434864695,0.0032252989301447452,50851,12712,10,0.9184633340046275
boosting,raw,3,4,0.20709714766696702,0.655432732215353,0.024045261669024046,0.43037974683544306,0.04554588077695914,0.9960173466678467,0.09544107972382965,11254,45,1380,34,0.5,0.11223292358197763,0.1112247305907339,0.00621411153936915,50850,12713,10,0.8912581250042422
boosting,raw,4,0,0.21205346151162424,0.6457405450633187,0.01272984441301273,0.5454545454545454,0.0248790601243953,0.9986724488892822,0.09506533007911515,11284,15,1396,18,0.5,0.11015010686140728,0.1112247305907339,0.00259576811138205,50850,12713,10,1.1446633330051554
boosting,raw,4,1,0.22020207079661355,0.6673191084376626,0.011315417256011316,0.45714285714285713,0.022084195997239476,0.9983182864223756,0.09452334181835265,11279,19,1398,16,0.5,0.11150956681305017,0.11123348017621146,0.0027533039647577094,50851,12712,10,1.189628874999471
boosting,raw,4,2,0.2154263742045195,0.6608273678672755,0.013446567586694975,0.48717948717948717,0.026170798898071626,0.9982300884955753,0.09464973938870629,11280,20,1394,19,0.5,0.10900139626371333,0.11114607095099505,0.00306772594981515,50850,12713,10,1.1510497499984922
boosting,raw,4,3,0.22369473036772303,0.6652480127915923,0.010615711252653927,0.5357142857142857,0.020818875780707843,0.9988494557040446,0.09419176248558013,11286,13,1398,15,0.5,0.10967120000185877,0.11115481434864695,0.0022026431718061676,50851,12712,10,1.2233823749993462
boosting,raw,4,4,0.2087573771826367,0.6591259656353912,0.02050919377652051,0.453125,0.03924221921515562,0.9969023807416586,0.09517337042935195,11264,35,1385,29,0.5,0.1121393898439065,0.1112247305907339,0.0050342169432864,50850,12713,10,1.1198557919997256
boosting,raw,5,0,0.21794312415292474,0.6480582828110735,0.012022630834512023,0.7727272727272727,0.023676880222841225,0.9995574829630941,0.09485572546070306,11294,5,1397,17,0.5,0.11047495894840006,0.1112247305907339,0.0017305120742546999,50850,12713,10,0.6391126249945955
boosting,raw,5,1,0.2183654353502517,0.6688458334491365,0.012022630834512023,0.53125,0.02351313969571231,0.998672331386086,0.09447263185586285,11283,15,1397,17,0.5,0.11178383655026447,0.11123348017621146,0.0025173064820641915,50851,12712,10,0.6349277090048417
boosting,raw,5,2,0.22254226846487568,0.6665715636723473,0.004246284501061571,0.375,0.008397480755773267,0.9991150442477876,0.0942139543780405,11290,10,1407,6,0.5,0.10956728942707596,0.11114607095099505,0.0012585542358216,50850,12713,10,0.6430266670067795
boosting,raw,5,3,0.22071075792894812,0.6652174781765191,0.010615711252653927,0.5555555555555556,0.020833333333333332,0.9989379591114258,0.09430317157793128,11287,12,1398,15,0.5,0.11039769869064629,0.11115481434864695,0.0021239773442416616,50851,12712,10,0.6107719160063425
boosting,raw,5,4,0.21200000179442802,0.6618583049181481,0.021216407355021217,0.46153846153846156,0.04056795131845842,0.9969023807416586,0.09492776050708107,11264,35,1384,30,0.5,0.11255914416135593,0.1112247305907339,0.005112876583025249,50850,12713,10,0.6287939580070088
boosting,raw,6,0,0.21749676861637893,0.6495813989121466,0.004243281471004243,0.75,0.008438818565400843,0.9998229931852376,0.09487067693964917,11297,2,1408,6,0.5,0.11047730927853833,0.1112247305907339,0.0006292771179108,50850,12713,10,0.44938812499458436
boosting,raw,6,1,0.2195039867300792,0.668005133151203,0.007779349363507779,0.7333333333333333,0.015395381385584325,0.9996459550362896,0.0944826836534717,11294,4,1403,11,0.5,0.1121322455414973,0.11123348017621146,0.0011799874134675898,50851,12712,10,0.4435563750012079
boosting,raw,6,2,0.22575971110216916,0.6701283592932881,0.0,0.0,0.0,0.9998230088495575,0.0941386188506842,11298,2,1413,0,0.5,0.10997508511543846,0.11114607095099505,0.0001573192794777,50850,12713,10,0.4543493750097696
