model,threshold,recall,precision,f1,specificity,tn,fp,fn,tp,encounters_flagged,encounter_fraction_flagged,patients_flagged,patient_fraction_flagged
logistic__uncalibrated,0.59,0.004002668445630421,0.46153846153846156,0.007936507936507936,0.999421056984534,12084,7,1493,6,13,0.0009565857247976453,8,0.0008199241570154761
logistic__uncalibrated,0.6,0.004002668445630421,0.46153846153846156,0.007936507936507936,0.999421056984534,12084,7,1493,6,13,0.0009565857247976453,8,0.0008199241570154761
logistic__uncalibrated,0.61,0.004002668445630421,0.5454545454545454,0.007947019867549669,0.9995864692746671,12086,5,1493,6,11,0.0008094186902133922,7,0.0007174336373885415
logistic__uncalibrated,0.62,0.00333555703802535,0.625,0.006635700066357001,0.9997518815648002,12088,3,1494,5,8,0.0005886681383370125,5,0.0005124525981346726
logistic__uncalibrated,0.63,0.00266844563042028,0.5714285714285714,0.005312084993359893,0.9997518815648002,12088,3,1495,4,7,0.0005150846210448859,5,0.0005124525981346726
logistic__uncalibrated,0.64,0.00266844563042028,0.6666666666666666,0.0053156146179402,0.9998345877098669,12089,2,1495,4,6,0.0004415011037527594,5,0.0005124525981346726
logistic__uncalibrated,0.65,0.00266844563042028,0.6666666666666666,0.0053156146179402,0.9998345877098669,12089,2,1495,4,6,0.0004415011037527594,5,0.0005124525981346726
logistic__uncalibrated,0.66,0.00266844563042028,0.6666666666666666,0.0053156146179402,0.9998345877098669,12089,2,1495,4,6,0.0004415011037527594,5,0.0005124525981346726
logistic__uncalibrated,0.67,0.00266844563042028,0.6666666666666666,0.0053156146179402,0.9998345877098669,12089,2,1495,4,6,0.0004415011037527594,5,0.0005124525981346726
logistic__uncalibrated,0.68,0.00266844563042028,0.6666666666666666,0.0053156146179402,0.9998345877098669,12089,2,1495,4,6,0.0004415011037527594,5,0.0005124525981346726
logistic__uncalibrated,0.69,0.0020013342228152103,0.6,0.003989361702127659,0.9998345877098669,12089,2,1496,3,5,0.0003679175864606328,4,0.00040996207850773806
logistic__uncalibrated,0.7,0.0020013342228152103,0.6,0.003989361702127659,0.9998345877098669,12089,2,1496,3,5,0.0003679175864606328,4,0.00040996207850773806
logistic__uncalibrated,0.71,0.0020013342228152103,0.6,0.003989361702127659,0.9998345877098669,12089,2,1496,3,5,0.0003679175864606328,4,0.00040996207850773806
logistic__uncalibrated,0.72,0.0020013342228152103,0.75,0.003992015968063872,0.9999172938549334,12090,1,1496,3,4,0.00029433406916850625,3,0.00030747155888080353
logistic__uncalibrated,0.73,0.00133422281521014,0.6666666666666666,0.002663115845539281,0.9999172938549334,12090,1,1497,2,3,0.0002207505518763797,2,0.00020498103925386903
logistic__uncalibrated,0.74,0.00133422281521014,0.6666666666666666,0.002663115845539281,0.9999172938549334,12090,1,1497,2,3,0.0002207505518763797,2,0.00020498103925386903
logistic__uncalibrated,0.75,0.00133422281521014,0.6666666666666666,0.002663115845539281,0.9999172938549334,12090,1,1497,2,3,0.0002207505518763797,2,0.00020498103925386903
logistic__uncalibrated,0.76,0.00133422281521014,0.6666666666666666,0.002663115845539281,0.9999172938549334,12090,1,1497,2,3,0.0002207505518763797,2,0.00020498103925386903
logistic__uncalibrated,0.77,0.00133422281521014,0.6666666666666666,0.002663115845539281,0.9999172938549334,12090,1,1497,2,3,0.0002207505518763797,2,0.00020498103925386903
