family,configuration,fold,average_precision,roc_auc,recall,precision,f1,specificity,brier,tn,fp,fn,tp,threshold,mean_probability,prevalence,predicted_positive_fraction,fit_encounters,holdout_encounters,encoded_features,duration_seconds
boosting,raw,4,0.21134677648476624,0.6631828516699166,0.018387553041018388,0.4406779661016949,0.035302104548540394,0.9970793875564209,0.09491899624705659,11266,33,1388,26,0.5,0.11229762048592999,0.1112247305907339,0.00464091874459215,50850,12713,10,0.6520698749955045
boosting,indicators,0,0.18770315128461684,0.6421560005873521,0.0,0.0,0.0,0.9999114965926188,0.09605226799896802,11298,1,1414,0,0.5,0.11082791554104637,0.1112247305907339,7.865963973885e-05,50850,12713,10,0.6968554170016432
boosting,indicators,1,0.1980183959408142,0.6611736490392837,0.0,0.0,0.0,0.9998229775181448,0.09535596574039992,11296,2,1414,0,0.5,0.11105486245845164,0.11123348017621146,0.00015733165512901197,50851,12712,10,0.6484930000005988
boosting,indicators,2,0.19359622359655654,0.6594055514846339,0.0007077140835102619,0.3333333333333333,0.0014124293785310734,0.9998230088495575,0.09545189117217925,11298,2,1412,1,0.5,0.1100331969720336,0.11114607095099505,0.00023597891921655,50850,12713,10,0.6449618750048103
boosting,indicators,3,0.1914377333440249,0.6546474279174823,0.0,0.0,0.0,1.0,0.09561666454450361,11299,0,1413,0,0.5,0.10968035602608964,0.11115481434864695,0.0,50851,12712,10,0.66688137500023
boosting,indicators,4,0.19399017581481548,0.656899735653967,0.0007072135785007072,0.5,0.0014124293785310734,0.9999114965926188,0.09560264424244755,11298,1,1413,1,0.5,0.11220298428194751,0.1112247305907339,0.0001573192794777,50850,12713,10,0.6506236249988433
boosting,raw_engineered,0,0.21928121194153935,0.6502829480222118,0.009193776520509194,0.7222222222222222,0.018156424581005588,0.9995574829630941,0.09472114693159514,11294,5,1401,13,0.5,0.11031573749929983,0.1112247305907339,0.0014158735152993,50850,12713,14,0.766573792003328
boosting,raw_engineered,1,0.2240677112224332,0.670222233322642,0.009900990099009901,0.5833333333333334,0.019471488178025034,0.999114887590724,0.09426568875183847,11288,10,1400,14,0.5,0.11177334023706735,0.11123348017621146,0.0018879798615481435,50851,12712,14,0.7589007079950534
boosting,raw_engineered,2,0.22236921655738376,0.6675317062172369,0.003538570417551309,0.3333333333333333,0.0070028011204481795,0.9991150442477876,0.09418446596290636,11290,10,1408,5,0.5,0.1098399811021431,0.11114607095099505,0.00117989459608275,50850,12713,14,0.7562827910005581
boosting,raw_engineered,3,0.22129354826118286,0.6653195107671943,0.004953998584571833,0.4375,0.00979706088173548,0.9992034693335693,0.09425073897486601,11290,9,1406,7,0.5,0.11024964608583915,0.11115481434864695,0.0012586532410320957,50851,12712,14,0.7546669579896843
boosting,raw_engineered,4,0.21167930417048758,0.6621691934785882,0.019801980198019802,0.45901639344262296,0.03796610169491525,0.9970793875564209,0.09489899492051627,11266,33,1386,28,0.5,0.11237444578514871,0.1112247305907339,0.00479823802406985,50850,12713,14,0.7759072909975657
boosting,diagnosis_grouped,0,0.22679865942738264,0.659612139763279,0.007072135785007072,0.7142857142857143,0.014005602240896359,0.9996459863704753,0.09428087804424935,11295,4,1404,10,0.5,0.11026180889989404,0.1112247305907339,0.0011012349563438999,50850,12713,14,1.0931689999997616
boosting,diagnosis_grouped,1,0.2276988149626262,0.6739703463556279,0.016265912305516265,0.6571428571428571,0.031746031746031744,0.9989378651088688,0.09408013837259786,11286,12,1391,23,0.5,0.11181532353343543,0.11123348017621146,0.0027533039647577094,50851,12712,14,1.114089916998637
boosting,diagnosis_grouped,2,0.2282048994348509,0.6722402908516996,0.007077140835102618,0.5882352941176471,0.013986013986013986,0.9993805309734514,0.09390131562198746,11293,7,1403,10,0.5,0.10973412625542135,0.11114607095099505,0.00133721387556045,50850,12713,14,1.105933124999865
boosting,diagnosis_grouped,3,0.22550675757979693,0.667365236024432,0.004953998584571833,0.5384615384615384,0.009817671809256662,0.9994689795557129,0.09411461092486062,11293,6,1406,7,0.5,0.11002135003296881,0.11115481434864695,0.0010226557583385776,50851,12712,14,1.089240792003693
boosting,diagnosis_grouped,4,0.21211562183532146,0.666201856869085,0.015558698727015558,0.4583333333333333,0.030095759233926128,0.9976989114080892,0.09476093391882713,11273,26,1392,22,0.5,0.11217347814937458,0.1112247305907339,0.0037756627074648,50850,12713,14,1.1073930409911554
boosting,diagnosis_raw,0,0.2167858298068815,0.6574686235391773,0.013437057991513438,0.8636363636363636,0.026462395543175487,0.9997344897778564,0.09497044138212311,11296,3,1395,19,0.5,0.10951340321501848,0.1112247305907339,0.0017305120742546999,50850,12713,14,0.8030568329995731
boosting,diagnosis_raw,1,0.21477536182037904,0.6558246030201988,0.014144271570014143,0.5263157894736842,0.027548209366391185,0.9984067976633032,0.09489682316129132,11280,18,1394,20,0.5,0.11097635986796399,0.11123348017621146,0.0029893014474512273,50851,12712,14,0.7970412080030655
boosting,diagnosis_raw,2,0.21178838932504862,0.6542775992835178,0.012738853503184714,0.6428571428571429,0.02498265093684941,0.9991150442477876,0.09497692412427942,11290,10,1395,18,0.5,0.10880477590777395,0.11114607095099505,0.0022024699126877998,50850,12713,14,0.8275952499971027
boosting,diagnosis_raw,3,0.22061980605019027,0.6622476658557299,0.01132342533616419,0.5714285714285714,0.02220680083275503,0.9989379591114258,0.0945042303793564,11287,12,1397,16,0.5,0.10967800498056467,0.11115481434864695,0.0022026431718061676,50851,12712,14,0.8111130000033882
boosting,diagnosis_raw,4,0.1996460613187017,0.6542585598880776,0.013437057991513438,0.4222222222222222,0.02604523646333105,0.9976989114080892,0.09568565157552418,11273,26,1395,19,0.5,0.11089988592434329,0.1112247305907339,0.0035396837882482497,50850,12713,14,0.8118331250007031
